福特 福克斯 2012款 三厢 1.6L 手动舒适型,3.38,6.63万公里,1.6L,手动
大众POLO 2016款 1.4L 自动风尚型,5.80,2.84万公里,1.4L,自动
现代ix35 2010款 2.0L 自动两驱新锐版GL,4.98,9.14万公里,2.0L,自动
福特 福克斯 2013款 两厢经典 1.8L 自动基本型,4.48,2.2万公里,1.8L,自动
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,6.36,3.52万公里,1.5L,自动
哈弗H6 2013款 运动版 1.5T 手动两驱精英型,5.30,8.06万公里,1.5T,手动
大众 桑塔纳 2019款 1.5L 自动风尚版 国VI,6.88,0.74万公里,1.5L,自动
大众 2019款 宝来·传奇 1.5L 自动时尚型 国VI,7.58,2.46万公里,1.5L,自动
哈弗H5 2013款 智尊版 2.0T手动两驱精英型,4.35,5.2万公里,2.0T,手动
五十铃皮卡 2015款 3.0T四驱4KH1CT,10.70,3.62万公里,3.0T,手动
日产 骐达 2019款 1.6L CVT酷动版 国VI,9.90,0.74万公里,1.6L,自动
现代 瑞纳 2014款 1.4L 手动智能型GLS,3.48,5.65万公里,1.4L,手动
铃木 天语 SX4 2011款 两厢 1.6L 自动运动型,2.88,19.01万公里,1.6L,自动
福特 嘉年华 2011款 两厢 1.5L 自动时尚型,2.88,5.8万公里,1.5L,自动
福特 福克斯 2015款 三厢 EcoBoost 125 自动超能风尚型,6.98,7.57万公里,1.0T,自动
大众 捷达 2015款 质惠版 1.6L 手动时尚型,4.58,8.2万公里,1.6L,手动
大众 迈腾 2013款 1.8TSI 豪华型,10.28,14.97万公里,1.8T,自动
丰田 汉兰达 2015款 2.0T 四驱精英版 7座,23.50,4.71万公里,2.0T,自动
大众 速腾 2014款 1.6L 自动舒适型,7.30,7.43万公里,1.6L,自动
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,7.28,4.58万公里,1.5L,自动
奔驰E级 2010款 E 200 CGI 优雅型(进口),12.60,15.14万公里,1.8T,自动
大众 迈腾 2015款 1.8TSI 尊贵型,11.80,8.3万公里,1.8T,自动
大众 途观 2015款 1.8TSI 自动四驱豪华型,12.68,7.1万公里,1.8T,自动
江淮 瑞风S3 2016款 1.5L 手动豪华智能尊享版,3.20,6.92万公里,1.5L,手动
大众POLO 2016款 1.6L 自动豪华型,6.80,4.19万公里,1.6L,自动
江淮 瑞风S3 2017款 1.6L 手动豪华智能型,3.78,2.91万公里,1.6L,手动
现代 名图 2014款 1.8L 自动智能型GLS,7.98,7.32万公里,1.8L,自动
奥迪A6L 2011款 2.0 TFSI 自动标准型,13.98,3.48万公里,2.0T,自动
福特 翼搏 2017款 1.5L 自动风尚型,6.80,4.08万公里,1.5L,自动
奥迪Q5 2011款 2.0TFSI 技术型,12.60,10.68万公里,2.0T,自动
大众 高尔夫 2012款 1.6 自动舒适型,5.85,6.79万公里,1.6L,自动
大众 朗逸 2015款 1.6L 自动风尚版,7.50,6.48万公里,1.6L,自动
大众 捷达 2015款 质惠版 1.6L 自动舒适型,6.35,3.49万公里,1.6L,自动
起亚 福瑞迪 2012款 1.6L AT GL 纪念版,4.38,5.14万公里,1.6L,自动
MINI Countryman 2011款 1.6L ONE,11.50,7.99万公里,1.6L,自动
哈弗H6 2012款 1.5T 手动两驱精英型,3.60,9.76万公里,1.5T,手动
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,6.58,3.92万公里,1.6L,自动
现代ix35 2012款 2.0L 自动两驱精英版GLS,6.40,9.2万公里,2.0L,自动
纳智捷 U5 SUV 2017款 1.6L CVT骑士版,6.60,1.96万公里,1.6L,自动
Jeep 自由侠 2017款 180T 自动动能版+,8.80,0.84万公里,1.4T,自动
本田 雅阁 2011款 2.0L EX Navi,8.80,9.85万公里,2.0L,自动
别克GL8 2014款 2.4L 行政版,13.30,5万公里,2.4L,自动
福特 翼虎 2013款 2.0L GTDi 四驱尊贵型,8.80,9.57万公里,2.0T,自动
菲亚特 菲翔 2012款 1.4T 自动劲享版,4.80,5.05万公里,1.4T,自动
福特 探险者 2016款 2.3T 精英版(进口),27.58,6.18万公里,2.3T,自动
大众 帕萨特 2011款 1.8TSI DSG御尊版,7.80,16.4万公里,1.8T,自动
大众 朗逸 2017款 1.6L 自动舒适版,7.50,7.82万公里,1.6L,自动
别克GL8 2014款 2.4L 经典版,12.38,4.3万公里,2.4L,自动
五菱荣光V 2015款 1.5L实用型,2.86,2.26万公里,1.5L,手动
福特 福睿斯 2015款 1.5L 自动时尚型,5.90,9.95万公里,1.5L,自动
大众 途观 2016款 300TSI 自动两驱豪华版,12.99,6.23万公里,1.8T,自动
别克 威朗 2017款 三厢 15S 自动领先型,7.38,6.82万公里,1.5L,自动
三菱 欧蓝德EX劲界 2011款 劲界 2.0 都市版(进口),7.18,10.74万公里,2.0L,自动
大众 途安 2013款 1.4T 自动舒适版5座,7.30,7.23万公里,1.4T,自动
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,5.78,7.08万公里,1.5L,自动
英菲尼迪QX50 2015款 2.5L 悦享版,21.50,4万公里,3.0L,自动
奔驰GLA级 2017款 GLA 200 动感型,18.58,3.12万公里,1.6T,自动
力帆 轩朗 2017款 2.0L CVT舒适型,5.08,4.86万公里,2.0L,自动
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,6.20,7.86万公里,1.4T,自动
别克 英朗 2021款 改款 典范 1.5L 自动精英型,8.68,0.01万公里,1.5L,自动
大众 帕萨特 2014款 2.0TSI DSG御尊版,10.58,8.87万公里,2.0T,自动
现代ix35 2013款 2.0L 自动两驱舒适型GL 国IV,6.98,7.14万公里,2.0L,自动
本田 奥德赛 2013款 2.4L 豪华版,12.80,7万公里,2.4L,自动
宝马X1 2012款 sDrive18i 豪华型,10.40,6.27万公里,2.0L,自动
英菲尼迪QX50 2015款 2.5L 悦享版,19.58,4.79万公里,2.5L,自动
