荣威550 2012款 550 1.8L 自动超值版,15.17万,2.88,2012年,10.47万公里,1.8L,自动
吉利 帝豪 2016款 三厢 1.5L 手动向上版,8.66万,3.28,2016年,5.04万公里,1.5L,手动
宝马X3 2013款 xDrive20i 豪华型(进口),54.16万,19.68,2013年,4.1万公里,2.0T,自动
日产 轩逸 2016款 经典 1.6XE 手动领先版,11.10万,5.80,2016年,5.22万公里,1.6L,手动
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,20.29万,7.30,2015年,11.36万公里,2.0L,自动
大众POLO 2011款 1.6L 自动致尚版,12.15万,4.18,2011年,9.31万公里,1.6L,自动
福特 福睿斯 2015款 1.5L 自动舒适型,11.70万,5.68,2015年,4.87万公里,1.5L,自动
大众 2019款 宝来·传奇 1.5L 自动时尚型 国VI,11.81万,7.58,2019年,2.46万公里,1.5L,自动
哈弗H5 2013款 智尊版 2.0T手动两驱精英型,11.70万,4.35,2014年,5.2万公里,2.0T,手动
五十铃皮卡 2015款 3.0T四驱4KH1CT,12.90万,10.70,2019年,3.62万公里,3.0T,手动
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,32.00万,26.80,2016年,5.49万公里,2.0T,自动
现代 瑞纳 2014款 1.4L 手动智能型GLS,8.56万,3.48,2015年,5.65万公里,1.4L,手动
铃木 天语 SX4 2011款 两厢 1.6L 自动运动型,12.90万,2.88,2011年,19.01万公里,1.6L,自动
福特 嘉年华 2011款 两厢 1.5L 自动时尚型,10.63万,2.88,2011年,5.8万公里,1.5L,自动
福特 福克斯 2015款 三厢 EcoBoost 125 自动超能风尚型,15.17万,6.98,2016年,7.57万公里,1.0T,自动
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,11.93万,5.78,2016年,7.08万公里,1.5L,自动
大众 途铠 2019款 1.5L 自动风尚版,13.88万,9.98,2019年,2.69万公里,1.5L,自动
日产 轩逸 2012款 1.6XE CVT舒适版,14.00万,5.98,2013年,8.59万公里,1.6L,自动
别克 英朗 2013款 GT 1.6L 自动时尚版,16.58万,5.60,2014年,8.62万公里,1.6L,自动
大众 迈腾 2013款 1.8TSI 豪华型,25.27万,10.28,2014年,14.97万公里,1.8T,自动
丰田 汉兰达 2015款 2.0T 四驱精英版 7座,28.09万,23.50,2016年,4.71万公里,2.0T,自动
