奔驰GLB 2020款 GLB 200 动感型,34.17万,28.18,2020年,1.39万公里,1.3T,自动,"['2处异常', '3处异常', '3处异常', '3处异常', '1处异常', '2处异常']",beijing
路虎 发现神行 2016款 2.0T S,39.95万,19.50,2016年,7.02万公里,2.0T,自动,"['1处异常', '2处异常', '2处异常', '9处异常', '1处异常', '1处异常', '4处异常', '2处异常', '3处异常']",beijing
斯柯达 晶锐 2012款 1.6L Scout,12.58万,3.80,2012年,5.62万公里,1.6L,自动,"['2处异常', '1处异常', '6处异常', '2处异常', '8处异常', '2处异常']",beijing
荣威i6 2017款 20T 自动旗舰版,12.68万,5.70,2017年,5.34万公里,1.5T,自动,"['3处异常', '4处异常', '1处异常', '7处异常', '7处异常', '2处异常', '1处异常', '3处异常', '8处异常']",beijing
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,9.31万,7.38,2018年,1.94万公里,1.5L,自动,"['1处异常', '4处异常', '2处异常', '2处异常', '2处异常']",beijing
大众CC 2019款 330TSI 魅颜版 国V,28.53万,21.60,2018年,3.6万公里,2.0T,自动,['1处异常'],beijing
大众 高尔夫 2016款 1.6L 自动时尚型,14.53万,8.80,2016年,1.2万公里,1.6L,自动,"['1处异常', '4处异常', '1处异常', '5处异常', '1处异常', '2处异常']",beijing
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,47.54万,20.28,2014年,6.47万公里,3.0L,自动,"['1处异常', '8处异常', '3处异常', '1处异常']",beijing
别克 君越 2016款 28T 豪华型,32.54万,13.98,2016年,7.74万公里,2.0T,自动,"['1处异常', '1处异常', '3处异常', '1处异常', '5处异常', '4处异常', '3处异常', '1处异常']",beijing
标致508 2013款 2.0L 两周年纪念 自动天窗经典版,19.72万,6.60,2013年,4.28万公里,2.0L,自动,"['1处异常', '6处异常', '2处异常', '2处异常', '2处异常', '3处异常']",beijing
大众 高尔夫 2012款 1.6 自动时尚型,14.21万,6.20,2013年,8.74万公里,1.6L,自动,['7处异常'],beijing
铃木 启悦 2015款 1.6L 手动舒享型,8.56万,4.40,2017年,4.93万公里,1.6L,手动,"['1处异常', '1处异常', '1处异常', '1处异常', '1处异常']",beijing
哈弗H6 2013款 升级版 1.5T 手动两驱精英型,12.57万,3.88,2014年,9.74万公里,1.5T,手动,"['3处异常', '1处异常', '2处异常', '1处异常', '2处异常', '3处异常', '3处异常', '5处异常', '2处异常']",beijing
沃尔沃XC60 2015款 T5 智雅版(进口),52.74万,14.99,2014年,6.93万公里,2.0T,自动,"['1处异常', '1处异常', '1处异常', '2处异常', '1处异常', '1处异常', '4处异常', '1处异常']",beijing
MINI 2011款 1.6L ONE,24.42万,11.60,2013年,3.03万公里,1.6L,自动,"['1处异常', '1处异常', '6处异常', '2处异常', '8处异常', '1处异常']",beijing
丰田C-HR 2020款 2.0L 精英版,15.39万,13.80,2020年,1.3万公里,2.0L,自动,"['6处异常', '1处异常', '3处异常']",beijing
别克 昂科威 2014款 28T 四驱豪华型,32.55万,11.68,2015年,8.9万公里,2.0T,自动,"['5处异常', '1处异常', '1处异常', '4处异常', '1处异常', '2处异常']",beijing
雪佛兰 科沃兹 2016款 1.5L 手动欣悦版,9.87万,4.56,2016年,2.14万公里,1.5L,手动,"['4处异常', '1处异常', '1处异常']",beijing
日产 天籁 2019款 2.0L XL Upper 智行版,21.69万,17.80,2019年,0.69万公里,2.0L,自动,"['1处异常', '2处异常', '2处异常', '4处异常', '1处异常', '2处异常', '1处异常']",beijing
大众POLO 2016款 1.4L 自动风尚型,9.54万,6.48,2017年,1.69万公里,1.4L,自动,"['3处异常', '1处异常', '4处异常', '1处异常', '1处异常']",beijing
大众 速腾 2018款 1.6L 自动舒适型,16.04万,10.18,2019年,1.7万公里,1.6L,自动,"['1处异常', '4处异常', '2处异常', '8处异常']",beijing
别克GL8 2014款 2.4L CT豪华商务舒适版,31.47万,16.50,2017年,4.56万公里,2.4L,自动,"['1处异常', '2处异常', '2处异常', '4处异常', '2处异常', '1处异常', '8处异常', '3处异常', '4处异常']",beijing
马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,15.08万,8.50,2016年,4.77万公里,1.5L,自动,"['1处异常', '4处异常', '3处异常', '3处异常']",beijing
奔驰C级 2015款 C 200 旅行轿车(进口),45.48万,22.74,2015年,5.48万公里,2.0T,自动,"['1处异常', '1处异常', '5处异常', '8处异常', '4处异常', '1处异常']",beijing
中华 骏捷FSV 2011款 新锐版 1.5L 手动标准型,7.14万,1.20,2011年,6万公里,1.5L,手动,"['1处异常', '2处异常', '1处异常', '2处异常', '1处异常', '2处异常', '1处异常', '1处异常', '3处异常']",beijing
别克 威朗 2018款 三厢 15S 自动领先型,16.81万,8.40,2018年,3.54万公里,1.5L,自动,"['2处异常', '4处异常', '1处异常', '4处异常', '1处异常', '1处异常', '1处异常']",beijing
西雅特 西亚特LEON 2012款 1.8TSI FR,26.47万,7.20,2012年,2.92万公里,1.8T,自动,"['1处异常', '2处异常', '3处异常', '8处异常', '2处异常', '11处异常', '4处异常', '4处异常']",beijing
大众 速腾 2012款 1.6L 自动时尚型,15.61万,7.50,2013年,1.8万公里,1.6L,自动,"['3处异常', '1处异常', '2处异常', '2处异常']",beijing
Jeep 指南者 2014款 2.4L 四驱蛇行珍藏版(进口),28.10万,7.68,2014年,6.77万公里,2.4L,自动,"['2处异常', '2处异常', '2处异常', '2处异常', '10处异常', '2处异常', '1处异常', '1处异常', '4处异常', '10处异常', '3处异常']",beijing
丰田 普拉多 2018款 3.5L 自动TX-L后挂备胎,,59.90,2019年,4.37万公里,3.5L,自动,"['1处异常', '1处异常', '1处异常', '3处异常', '2处异常', '1处异常']",beijing
大众POLO 2014款 1.4L 手动风尚版,8.24万,4.50,2015年,4.25万公里,1.4L,手动,"['1处异常', '3处异常', '5处异常', '1处异常', '1处异常', '11处异常', '1处异常']",beijing
MINI 2010款 1.6T COOPER S 50 Camden,41.14万,8.97,2010年,8.86万公里,1.6T,自动,"['1处异常', '6处异常', '5处异常', '3处异常', '3处异常', '7处异常', '1处异常', '4处异常']",beijing
三菱 翼神 2010款 时尚版 1.8L CVT舒适型,14.09万,3.75,2010年,13.49万公里,1.8L,自动,"['2处异常', '2处异常', '2处异常', '7处异常', '3处异常', '1处异常', '7处异常', '3处异常', '4处异常', '1处异常']",beijing
福特 福克斯 2013款 两厢经典 1.8L 自动时尚型,13.44万,4.00,2013年,8.54万公里,1.8L,自动,"['2处异常', '1处异常', '1处异常', '5处异常', '2处异常', '6处异常', '2处异常']",beijing
奥迪A8L 2012款 A8L 45 TFSI quattro舒适型(进口),100.73万,25.88,2012年,17.79万公里,3.0T,自动,"['2处异常', '1处异常', '7处异常', '5处异常', '1处异常', '8处异常', '4处异常', '3处异常']",beijing
奔驰B级 2012款 B 200(进口),34.52万,11.98,2014年,7.27万公里,1.6T,自动,"['2处异常', '7处异常', '2处异常', '11处异常', '5处异常', '7处异常']",beijing
马自达3 2010款 两厢 1.6自动豪华型(进口),17.45万,4.60,2011年,5.52万公里,1.6L,自动,"['2处异常', '2处异常', '2处异常', '1处异常', '4处异常', '1处异常', '1处异常', '12处异常', '3处异常', '6处异常']",beijing
大众 凌渡 2015款 230TSI DSG风尚版,17.36万,9.00,2016年,8.38万公里,1.4T,自动,"['5处异常', '3处异常', '4处异常', '2处异常', '7处异常', '3处异常', '9处异常']",beijing
日产 逍客 2016款 2.0L CVT豪华版,18.21万,10.70,2015年,4.27万公里,2.0L,自动,"['1处异常', '1处异常']",beijing
本田 杰德 2016款 1.8L 自动舒适精英版 5座,17.13万,9.50,2016年,7.78万公里,1.8L,自动,"['2处异常', '7处异常', '2处异常', '1处异常', '9处异常', '13处异常', '2处异常']",beijing
福特 福睿斯 2015款 1.5L 自动时尚型,13.00万,6.30,2016年,5.42万公里,1.5L,自动,"['1处异常', '1处异常', '1处异常', '2处异常', '14处异常', '1处异常', '2处异常', '4处异常']",beijing
大众 朗逸 2009款 2.0L 自动品悠版,13.98万,3.68,2010年,15.11万公里,2.0L,自动,"['1处异常', '2处异常', '1处异常', '3处异常', '4处异常', '2处异常', '4处异常', '6处异常', '2处异常']",beijing
奔驰E级 2018款 改款 E 200 L,47.30万,36.98,2018年,3.09万公里,2.0T,自动,"['1处异常', '4处异常', '1处异常']",beijing
本田 飞度 2014款 1.5L LX 手动舒适型,8.01万,5.78,2015年,7.84万公里,1.5L,手动,"['1处异常', '1处异常', '1处异常', '1处异常', '2处异常', '3处异常', '3处异常']",beijing
大众 途锐 2017款 3.0TSI 拓野型(进口),78.02万,42.50,2017年,5.19万公里,3.0T,自动,"['1处异常', '2处异常', '6处异常', '1处异常', '1处异常']",beijing
大众POLO 2014款 1.6L 自动舒适版,11.28万,5.98,2015年,7.78万公里,1.6L,自动,"['3处异常', '1处异常', '4处异常', '1处异常', '2处异常', '6处异常', '2处异常']",beijing
凯迪拉克ATS-L 2014款 25T 舒适型,31.35万,13.98,2015年,6.56万公里,2.0T,自动,"['2处异常', '5处异常', '1处异常', '1处异常', '3处异常', '5处异常', '5处异常', '4处异常']",beijing
MG7 2010款 1.8T 自动舒适版,18.32万,4.80,2014年,7.59万公里,1.8T,自动,"['1处异常', '1处异常', '2处异常', '1处异常', '1处异常', '1处异常', '1处异常', '2处异常']",beijing
奔驰B级 2015款 B 200 时尚型(进口),30.61万,12.80,2015年,11.27万公里,1.6T,自动,"['3处异常', '2处异常', '4处异常', '1处异常', '6处异常', '1处异常', '2处异常', '8处异常', '3处异常', '5处异常', '1处异常']",beijing
宝马5系 2014款 520Li 典雅型,47.28万,19.30,2013年,13.38万公里,2.0T,自动,"['1处异常', '3处异常', '4处异常', '1处异常', '2处异常', '3处异常', '3处异常']",beijing
起亚K2 2015款 三厢 1.4L AT GLS,9.32万,5.25,2016年,4.33万公里,1.4L,自动,"['2处异常', '3处异常', '7处异常', '1处异常', '4处异常', '10处异常', '5处异常', '3处异常']",beijing
奥迪Q3 2013款 35 TFSI 舒适型,34.30万,13.50,2014年,8.12万公里,2.0T,自动,"['1处异常', '1处异常', '3处异常', '2处异常', '2处异常', '2处异常', '1处异常']",beijing
奥迪Q5 2013款 40 TFSI 技术型,46.41万,16.60,2013年,12.49万公里,2.0T,自动,"['2处异常', '3处异常', '6处异常', '2处异常', '1处异常', '4处异常', '2处异常', '3处异常', '3处异常']",beijing
大众 速腾 2015款 230TSI 自动舒适型,17.45万,8.58,2016年,4.58万公里,1.4T,自动,"['1处异常', '1处异常', '5处异常', '6处异常', '11处异常', '2处异常', '1处异常']",beijing
